Gene	1. Germline Cluster 1
Parp	0.758064516129032
Alg-2	2.12903225806452
Tim17b	1.41935483870968
CG41128	1.17741935483871
CG41099	0.290322580645161
CG12581	0.0967741935483871
aux	0.0483870967741935
DhpD	0.17741935483871
CG14641	0.258064516129032
abs	0.032258064516129
Gel	0.0483870967741935
cpx	0.0161290322580645
Vps24	0.338709677419355
CG9791	0.0645161290322581
CG9795	0.0483870967741935
CG9776	0.467741935483871
Skp2	0.370967741935484
CG1103	0.290322580645161
Cont	0.0806451612903226
tub	0.161290322580645
CG14646	0.0967741935483871
CG9855	0.161290322580645
CG9853	0.274193548387097
CG14647	0.32258064516129
lost	2.38709677419355
srl	0.483870967741935
CG1074	0.0967741935483871
CG9804	0.338709677419355
CG14650	0.0645161290322581
CG31522	0.032258064516129
CG31523	0.0806451612903226
Fip1	0.532258064516129
CG9775	0.32258064516129
slx1	0.0645161290322581
MED31	0.145161290322581
rpk	0.0806451612903226
Karybeta3	0.951612903225806
spartin	0.0161290322580645
CG43427	0.129032258064516
CG9769	2.96774193548387
Nep2	0.0645161290322581
tacc	0.596774193548387
atms	0.290322580645161
ctrip	0.274193548387097
Hus1-like	0.112903225806452
CG1129	0.17741935483871
CG14657	0.193548387096774
Gnf1	0.209677419354839
Cdep	0.161290322580645
Ubc6	0.193548387096774
CG1124	0.112903225806452
corto	0.370967741935484
CG12007	0.0645161290322581
cno	0.17741935483871
CG1116	0.0645161290322581
CG2604	0.532258064516129
Vps37B	0.17741935483871
Kat60	0.0967741935483871
Mms19	0.112903225806452
CG12163	0.387096774193548
CG12173	0.419354838709677
Hph	0.17741935483871
mtd	0.258064516129032
CG11999	0.5
CG1161	0.241935483870968
Prosbeta7	0.645161290322581
Cerk	0.0806451612903226
RpII18	1.80645161290323
hd	0.0806451612903226
CG14667	0.112903225806452
kkv	0.0161290322580645
CG1172	0.145161290322581
PEK	0.129032258064516
RpL35A	44.258064516129
CG12162	0.161290322580645
mRpL44	0.306451612903226
Snr1	0.419354838709677
Hcs	0.0161290322580645
CG31550	0.112903225806452
Itp-r83A	0.0645161290322581
CG2519	0.0967741935483871
mia	0.0645161290322581
Pcmt	0.370967741935484
Snm1	0.032258064516129
CG2929	0.0645161290322581
CG14671	0.145161290322581
CG12746	0.0645161290322581
CG2931	0.0806451612903226
Rheb	0.387096774193548
CRMP	0.0645161290322581
CG2926	0.596774193548387
rev7	0.0806451612903226
noi	0.112903225806452
Vha26	1.2258064516129
kra	2.25806451612903
CG1427	0.145161290322581
asl	0.0967741935483871
Rga	0.338709677419355
Atu	0.403225806451613
CG2911	0.0645161290322581
RpL13A	50.741935483871
CG31551	0.0161290322580645
CG31549	0.806451612903226
CG12171	0.290322580645161
CG31548	0.629032258064516
CG12170	0.0645161290322581
MTA1-like	0.0967741935483871
Sec23	0.467741935483871
elm	0.306451612903226
MED27	0.145161290322581
CG2182	0.887096774193548
Xe7	0.161290322580645
Atg17	0.0967741935483871
Rab23	0.0483870967741935
plx	0.0806451612903226
CG1239	0.0967741935483871
CG2100	0.129032258064516
CG1236	0.241935483870968
Sym	0.0806451612903226
Madm	0.0967741935483871
CG2091	0.17741935483871
Sec8	0.0967741935483871
jagn	0.225806451612903
CG2051	0.354838709677419
Rpn5	0.693548387096774
CG1218	0.209677419354839
CG2046	0.419354838709677
CG10979	0.0483870967741935
Hpr1	0.129032258064516
CG2023	0.0161290322580645
dgrn	0.0806451612903226
glob3	0.032258064516129
disp	0.0483870967741935
ECSIT	0.209677419354839
CG2017	0.112903225806452
CG34113	0.0161290322580645
Rm62	3.59677419354839
Gasp	0.0161290322580645
CG31559	0.0161290322580645
CG1077	0.032258064516129
CG17919	0.0161290322580645
SmD2	1.90322580645161
CG18048	0.032258064516129
Hr83	0.0161290322580645
Pak	0.129032258064516
CG42724	0.387096774193548
CG10286	0.32258064516129
CRAT	0.032258064516129
CG1024	0.0645161290322581
TfIIFalpha	0.806451612903226
godzilla	0.258064516129032
Dmtn	0.17741935483871
gpp	1.08064516129032
CG9727	0.032258064516129
Zif	0.338709677419355
CG2330	0.0161290322580645
Taf1	0.0806451612903226
CG1307	0.67741935483871
twr	1.08064516129032
agt	0.258064516129032
Ccp84Ag	0.0161290322580645
Ama	0.0161290322580645
CG1105	0.0967741935483871
CG1965	0.0483870967741935
CG1104	0.032258064516129
CG1943	2.41935483870968
Ref1	1.04838709677419
Dpck	0.17741935483871
e(y)2b	0.032258064516129
Alh	0.161290322580645
Mlp84B	0.0483870967741935
CG10098	0.0967741935483871
CG10068	0.0645161290322581
CG31248	0.032258064516129
CG2656	0.145161290322581
gfzf	0.032258064516129
Sas-4	0.17741935483871
MAGE	0.0483870967741935
CG10055	0.112903225806452
lap	0.161290322580645
CG14609	0.0483870967741935
CG14605	0.0161290322580645
CG1234	0.451612903225806
CG10053	0.112903225806452
CG1227	0.0806451612903226
CG10050	0.032258064516129
CG1142	0.338709677419355
alpha-Est9	0.032258064516129
alpha-Est7	0.0161290322580645
Rtnl2	0.0161290322580645
alpha-Est5	0.0483870967741935
alpha-Est4	0.0161290322580645
alpha-Est3	0.0483870967741935
alpha-Est1	0.0483870967741935
pyd3	0.032258064516129
Sp7	0.0161290322580645
sgll	0.403225806451613
CG17816	0.0967741935483871
CG10092	0.0161290322580645
mRpS9	0.467741935483871
wtrw	0.032258064516129
Taf7	0.0967741935483871
Prat	0.193548387096774
CG2846	0.306451612903226
CG2678	0.0645161290322581
CG10445	0.0645161290322581
lds	0.209677419354839
dsx	0.0483870967741935
CD98hc	0.467741935483871
CG2781	0.274193548387097
CG14463	0.145161290322581
Kmn2	0.0483870967741935
CG2698	0.145161290322581
CG2767	0.354838709677419
CG11052	0.032258064516129
CG3223	0.209677419354839
CG10435	0.0645161290322581
CG2747	0.0645161290322581
CG10903	0.274193548387097
CG11035	0.0806451612903226
unc-45	0.0645161290322581
CG7900	0.0806451612903226
puc	0.370967741935484
CG7878	0.548387096774194
CG9667	0.370967741935484
Gie	0.274193548387097
CG7800	0.0645161290322581
CG7602	0.0161290322580645
Ada2b	0.17741935483871
CG9636	0.0483870967741935
mtg	0.0483870967741935
RpA-70	0.403225806451613
Mcm2	0.17741935483871
CG9630	0.0967741935483871
CG11671	0.032258064516129
mRpL1	0.403225806451613
Sgt1	0.193548387096774
tex	0.274193548387097
Coq2	0.032258064516129
CG7443	0.0967741935483871
COX7A	3.51612903225806
Arl2	0.290322580645161
CG9601	0.209677419354839
DppIII	0.467741935483871
CG7352	0.0483870967741935
Atg13	0.0806451612903226
stck	0.467741935483871
CG9684	0.0967741935483871
CG11737	0.0483870967741935
pch2	0.306451612903226
mRpS18A	0.693548387096774
CG31460	0.532258064516129
Cenp-C	0.112903225806452
Mkk4	0.0806451612903226
CG8021	0.0645161290322581
Dhod	0.612903225806452
CG11753	0.274193548387097
bel	0.887096774193548
p	0.0967741935483871
CG8032	0.0645161290322581
CG8036	2.83870967741935
mRpL19	0.596774193548387
CG9773	0.112903225806452
CG11755	0.112903225806452
CG8043	0.032258064516129
hb	0.032258064516129
Cks85A	0.435483870967742
CG8112	0.145161290322581
CG8116	0.0483870967741935
CG8136	0.0161290322580645
CG8145	0.0967741935483871
CG11762	0.032258064516129
CG8159	0.0161290322580645
ranshi	0.0483870967741935
M1BP	0.225806451612903
CG8202	0.0483870967741935
CG9801	0.032258064516129
CG8223	0.5
CG9839	0.161290322580645
hng2	0.0645161290322581
CG9821	5.5
CG8369	0.0161290322580645
CG9836	0.935483870967742
CG8379	0.0806451612903226
pyd	0.564516129032258
osk	0.32258064516129
skap	0.564516129032258
CG11964	0.225806451612903
RagA-B	0.0967741935483871
CG11970	0.032258064516129
E(var)3-9	0.112903225806452
CG11975	0.161290322580645
CG11980	0.354838709677419
Prosbeta3	1.33870967741935
CG11982	0.387096774193548
CG11983	0.0483870967741935
CG11984	0.17741935483871
CG11985	0.17741935483871
CG11986	0.193548387096774
tgo	0.112903225806452
neur	0.0645161290322581
hyx	0.241935483870968
Nmdmc	0.5
Rel	0.274193548387097
Mst85C	0.0806451612903226
Kdm2	0.0645161290322581
beag	0.0161290322580645
Ada	0.0645161290322581
pum	1.30645161290323
D1	2.54838709677419
CG8420	0.0483870967741935
CG16734	0.129032258064516
Ibf2	0.370967741935484
Ibf1	0.161290322580645
VhaM8.9	0.661290322580645
sage	0.0161290322580645
Vps16A	0.032258064516129
CG16749	0.0161290322580645
CG8121	0.193548387096774
CG43675	0.0161290322580645
FER	0.161290322580645
CG34117	0.32258064516129
RpL34b	48.2741935483871
CG8132	0.17741935483871
CG9356	0.032258064516129
ps	1.20967741935484
GstZ1	0.032258064516129
CG16779	0.0161290322580645
RhoL	0.112903225806452
CG8149	0.290322580645161
rump	0.5
Ras85D	0.516129032258065
Rlb1	0.17741935483871
mRpL47	0.725806451612903
JHDM2	0.0483870967741935
CG8176	0.161290322580645
mura	0.0645161290322581
RnpS1	0.338709677419355
CG9386	0.0161290322580645
CG8199	0.112903225806452
AP-1mu	0.161290322580645
MBD-like	0.451612903225806
CG9393	0.0806451612903226
CG16790	0.0161290322580645
CG9399	0.112903225806452
Kap-alpha3	0.693548387096774
CG8273	0.161290322580645
CG8301	0.0161290322580645
P58IPK	0.129032258064516
bocks	0.145161290322581
CG8312	0.161290322580645
CG9427	0.0161290322580645
CG8319	0.0806451612903226
SpdS	0.870967741935484
Scm	0.0967741935483871
CG8358	0.0161290322580645
CG16817	3.87096774193548
nmdyn-D7	0.0967741935483871
eca	1.14516129032258
Unc-115a	0.0645161290322581
trbd	0.0161290322580645
dmt	0.209677419354839
hyd	0.306451612903226
Pnn	0.161290322580645
CG34409	0.0483870967741935
CG12948	0.306451612903226
PpD3	0.112903225806452
CG16908	0.032258064516129
Rpt3R	0.0483870967741935
CG8412	0.0967741935483871
CG8417	0.193548387096774
Snap24	0.0161290322580645
CG8478	0.129032258064516
MED6	0.112903225806452
CG8481	0.145161290322581
CG9471	0.403225806451613
RpS29	51.9354838709677
CG12947	0.0645161290322581
MtnA	0.145161290322581
CG12945	0.225806451612903
CG8507	0.629032258064516
CG8516	0.0967741935483871
CG9467	0.0645161290322581
CG8526	0.0483870967741935
FBXO11	0.17741935483871
Glut4EF	0.370967741935484
Art4	0.0483870967741935
CG5359	0.129032258064516
Mical	0.0483870967741935
CG3909	0.112903225806452
CG11722	0.193548387096774
mtTFB2	0.0806451612903226
CG12811	0.209677419354839
CG3925	0.0806451612903226
Fmr1	0.225806451612903
CG3940	0.0806451612903226
knk	0.0161290322580645
tws	0.387096774193548
TAF1B	0.0806451612903226
CG6254	0.032258064516129
Best1	0.032258064516129
Timp	0.435483870967742
pont	0.5
CG43143	0.435483870967742
CG6293	0.0483870967741935
Bruce	0.193548387096774
CG12818	0.0645161290322581
sle	0.17741935483871
jumu	0.258064516129032
